ta_location_id,hotel_name,amenity
224224,Ritz-Carlton New York Central Park,Public Wifi
224224,Ritz-Carlton New York Central Park,Dry Cleaning
224224,Ritz-Carlton New York Central Park,Meeting rooms
224224,Ritz-Carlton New York Central Park,Non-smoking rooms
224224,Ritz-Carlton New York Central Park,Business center
224224,Ritz-Carlton New York Central Park,Fitness center
224224,Ritz-Carlton New York Central Park,Air conditioning
224224,Ritz-Carlton New York Central Park,Family Rooms
224224,Ritz-Carlton New York Central Park,Multilingual Staff
224224,Ritz-Carlton New York Central Park,Accessible rooms
224224,Ritz-Carlton New York Central Park,Minibar
224224,Ritz-Carlton New York Central Park,Non-smoking hotel
224224,Ritz-Carlton New York Central Park,Flatscreen TV
